Musteri_ID,Yas,Aylik_Harcama,Abonelik_Suresi_Ay,Destek_Talebi_Sayisi,Sehir,Uyelik_Tipi,Churn
125,,352.83,31.0,1.0,Antalya,Temel,0
126,39.0,601.39,3.0,1.0,Bursa,Premium,1
127,39.0,454.85,44.0,2.0,İstanbul,,0
128,8.0,750.81,18.0,4.0,Bursa,Temel,1
129,41.0,799.33,45.0,3.0,,Standart,0
130,61.0,439.86,42.0,1.0,Bursa,Temel,0
131,48.0,741.14,10.0,3.0,Bursa,Temel,1
132,54.0,735.34,33.0,2.0,Eskişehir,Standart,1
133,25.0,717.51,15.0,3.0,Bursa,Temel,0
134,38.0,416.01,48.0,1.0,Eskişehir,Standart,1
135,45.0,331.23,7.0,2.0,Eskişehir,Standart,0
136,29.0,253.52,52.0,1.0,Ankara,Premium,0
137,23.0,328.26,51.0,2.0,,Standart,1
138,67.0,516.34,47.0,75.0,Eskişehir,Standart,0
139,40.0,517.43,45.0,5.0,Ankara,Temel,0
140,43.0,311.93,42.0,0.0,İstanbul,Standart,0
141,36.0,595.93,16.0,2.0,Antalya,Temel,0
142,31.0,471.56,32.0,5.0,İzmir,Temel,1
143,56.0,695.6,46.0,0.0,Eskişehir,Temel,0
144,21.0,695.19,48.0,3.0,Antalya,Standart,0
145,32.0,592.11,59.0,3.0,Ankara,Premium,0
146,67.0,85000.0,21.0,0.0,İstanbul,Temel,1
147,41.0,416.11,4.0,1.0,Adana,Standart,1
148,31.0,351.63,30.0,1.0,Adana,Temel,0
149,65.0,593.12,5.0,2.0,Antalya,Temel,1
150,67.0,633.8,48.0,1.0,Eskişehir,Temel,0
151,,,43.0,2.0,Eskişehir,Temel,0
152,38.0,869.75,23.0,1.0,Adana,Temel,1
153,18.0,570.96,19.0,3.0,İzmir,Temel,0
154,65.0,778.79,6.0,0.0,İstanbul,Premium,0
155,68.0,430.23,18.0,0.0,İzmir,Premium,0
156,47.0,629.87,46.0,3.0,Bursa,Standart,0
157,29.0,382.72,5.0,2.0,İzmir,Temel,0
158,58.0,298.61,20.0,2.0,Adana,Standart,1
159,45.0,437.58,45.0,1.0,İstanbul,Premium,0
160,63.0,557.65,8.0,1.0,Eskişehir,Standart,0
161,51.0,60000.0,53.0,,Antalya,Temel,1
162,42.0,,47.0,4.0,Eskişehir,Temel,1
163,54.0,583.74,7.0,1.0,Eskişehir,Standart,1
164,56.0,,47.0,3.0,Eskişehir,Premium,1
165,27.0,394.19,59.0,3.0,Antalya,Standart,0
166,21.0,353.15,43.0,2.0,Eskişehir,Standart,0
167,61.0,326.81,39.0,2.0,Bursa,Temel,0
168,,451.01,500.0,0.0,Antalya,Temel,1
169,33.0,639.73,42.0,2.0,Antalya,Standart,1
170,22.0,311.01,41.0,1.0,İzmir,Standart,0
171,22.0,458.19,58.0,2.0,Eskişehir,Standart,0
172,54.0,525.89,2.0,2.0,Bursa,Premium,0
173,36.0,571.04,13.0,1.0,Bursa,Premium,1
174,69.0,577.45,41.0,3.0,Ankara,Premium,0
175,32.0,410.8,43.0,0.0,,,0
176,46.0,454.84,14.0,2.0,Antalya,Standart,0
177,35.0,,14.0,2.0,İzmir,Premium,0
178,41.0,615.71,31.0,3.0,Bursa,Temel,0
179,64.0,,10.0,2.0,,Temel,0
180,34.0,402.77,25.0,6.0,Bursa,Temel,1
181,24.0,182.82,58.0,3.0,İstanbul,Temel,1
182,25.0,488.15,49.0,1.0,Adana,Premium,0
183,38.0,936.9,47.0,4.0,Ankara,Standart,0
184,28.0,355.3,55.0,2.0,Bursa,Standart,0
185,60.0,369.66,48.0,1.0,İzmir,Temel,0
186,50.0,192.95,49.0,2.0,İzmir,Premium,1
187,61.0,396.72,39.0,2.0,Adana,Temel,0
188,,553.19,50.0,1.0,Eskişehir,Standart,0
189,57.0,708.8,23.0,,İzmir,Premium,1
190,63.0,738.7,22.0,3.0,Adana,Standart,1
191,41.0,455.22,37.0,4.0,İstanbul,Temel,0
192,40.0,,32.0,0.0,Bursa,Temel,0
193,39.0,473.05,23.0,0.0,Bursa,Standart,0
194,44.0,657.01,26.0,2.0,Eskişehir,Standart,1
195,30.0,460.55,56.0,3.0,İstanbul,Premium,0
196,20.0,666.35,1.0,3.0,Eskişehir,Temel,0
197,58.0,424.69,47.0,0.0,Adana,Temel,0
198,35.0,671.21,57.0,3.0,Eskişehir,Standart,0
199,19.0,434.51,25.0,1.0,Antalya,Standart,1
200,43.0,,44.0,3.0,Eskişehir,Standart,0
201,20.0,315.69,52.0,1.0,İstanbul,Temel,0
202,34.0,397.63,52.0,3.0,Eskişehir,Temel,1
203,68.0,383.4,28.0,2.0,Ankara,Temel,0
204,20.0,394.59,52.0,4.0,İstanbul,Premium,0
205,42.0,,38.0,5.0,İstanbul,,0
206,33.0,620.57,31.0,0.0,Antalya,Premium,0
207,47.0,512.54,28.0,4.0,İzmir,Premium,0
208,,499.87,41.0,3.0,Ankara,Standart,1
209,46.0,651.53,45.0,2.0,İstanbul,Standart,0
210,60.0,316.38,26.0,2.0,Adana,Premium,0
211,40.0,,18.0,3.0,Adana,Standart,1
212,66.0,523.49,16.0,1.0,Antalya,Standart,0
213,38.0,574.54,47.0,3.0,Antalya,Standart,0
214,43.0,630.63,15.0,0.0,Ankara,Standart,1
215,51.0,524.93,3.0,0.0,İstanbul,Premium,0
216,64.0,455.31,26.0,3.0,Antalya,Temel,1
217,,389.45,20.0,2.0,Eskişehir,Standart,1
218,26.0,286.67,27.0,-5.0,Ankara,Standart,0
219,34.0,522.16,6.0,1.0,İzmir,,1
220,47.0,389.78,27.0,0.0,Bursa,Temel,0
221,18.0,308.77,8.0,1.0,İzmir,Standart,0
222,62.0,501.03,19.0,3.0,İzmir,Standart,1
223,58.0,390.9,35.0,0.0,İzmir,Temel,0
224,57.0,395.86,28.0,3.0,Bursa,Standart,1
225,34.0,469.96,47.0,4.0,,Standart,0
226,56.0,206.29,1.0,2.0,İstanbul,Temel,1
227,63.0,796.44,50.0,1.0,İzmir,Temel,0
228,57.0,989.19,52.0,1.0,İstanbul,Standart,0
229,57.0,383.54,6.0,2.0,Antalya,Temel,1
230,53.0,436.98,20.0,3.0,Bursa,Temel,0
231,-50.0,456.68,40.0,2.0,Ankara,Standart,1
232,49.0,758.35,41.0,0.0,Eskişehir,Temel,0
233,12.0,385.27,59.0,5.0,Adana,Standart,1
234,26.0,619.92,9.0,3.0,Bursa,Standart,1
235,29.0,,14.0,1.0,Adana,Temel,0
236,30.0,459.24,35.0,3.0,Adana,Temel,0
237,33.0,474.75,37.0,4.0,İzmir,Temel,1
238,67.0,385.08,43.0,2.0,Eskişehir,Temel,0
239,68.0,,15.0,2.0,Antalya,Standart,0
240,65.0,431.54,6.0,4.0,Adana,Standart,1
241,40.0,638.11,56.0,1.0,Antalya,Standart,1
242,55.0,627.58,59.0,4.0,Antalya,Standart,1
243,20.0,271.34,46.0,,Eskişehir,Temel,1
244,56.0,,21.0,4.0,Adana,Temel,1
245,60.0,523.24,18.0,1.0,İstanbul,Standart,1
246,19.0,256.01,32.0,3.0,İzmir,,1
247,,599.28,44.0,6.0,Eskişehir,Temel,1
248,55.0,,17.0,0.0,Eskişehir,Standart,0
249,53.0,653.74,35.0,2.0,Ankara,Temel,0
250,60.0,683.27,56.0,0.0,Bursa,Premium,0
251,69.0,496.65,36.0,1.0,İstanbul,Premium,0
252,55.0,473.22,8.0,2.0,Antalya,Temel,0
253,62.0,515.72,47.0,2.0,İzmir,Temel,0
254,68.0,298.99,57.0,2.0,Bursa,Temel,0
255,62.0,368.39,34.0,7.0,İstanbul,Standart,1
256,67.0,322.69,24.0,1.0,Ankara,Premium,0
257,49.0,553.13,47.0,500.0,Ankara,Premium,0
258,33.0,382.97,6.0,,Bursa,Standart,1
259,250.0,120000.0,26.0,,İstanbul,Temel,0
260,21.0,451.96,50.0,3.0,Antalya,Temel,1
261,27.0,599.25,30.0,4.0,Adana,Temel,1
262,47.0,454.6,45.0,4.0,İstanbul,Standart,1
263,,540.35,12.0,4.0,Adana,Standart,1
264,53.0,358.23,40.0,0.0,Adana,Standart,0
265,58.0,553.95,41.0,3.0,İzmir,Temel,1
266,42.0,448.7,19.0,5.0,İzmir,Temel,1
267,48.0,778.16,32.0,2.0,Eskişehir,Temel,0
268,57.0,493.28,16.0,4.0,Eskişehir,Standart,1
269,40.0,555.19,26.0,2.0,Adana,Temel,0
270,35.0,575.35,34.0,1.0,İstanbul,Temel,0
271,22.0,597.54,48.0,1.0,Eskişehir,Temel,1
272,35.0,590.72,10.0,3.0,İzmir,Temel,0
273,36.0,356.32,5.0,0.0,Eskişehir,Premium,0
274,37.0,691.03,50.0,5.0,İstanbul,Temel,1
275,36.0,528.69,3.0,2.0,İzmir,Standart,1
276,25.0,761.56,50.0,3.0,İstanbul,Standart,0
277,21.0,627.74,10.0,3.0,Ankara,Standart,0
278,52.0,522.06,11.0,2.0,Eskişehir,Temel,0
279,30.0,544.19,32.0,1.0,Ankara,Premium,0
280,48.0,575.14,57.0,2.0,İzmir,Premium,0
281,38.0,288.17,25.0,1.0,İstanbul,Temel,1
282,23.0,,51.0,3.0,Adana,Temel,0
283,27.0,609.29,41.0,2.0,Adana,Standart,0
284,52.0,400.31,27.0,3.0,İstanbul,Standart,1
285,23.0,112.97,49.0,4.0,Ankara,Standart,0
286,43.0,370.57,37.0,3.0,İstanbul,Temel,0
287,32.0,202.71,38.0,2.0,İzmir,Standart,0
288,46.0,229.42,30.0,5.0,İstanbul,Premium,1
289,28.0,425.19,9.0,1.0,İzmir,Standart,1
290,29.0,482.55,47.0,1.0,Bursa,Temel,0
291,51.0,669.83,35.0,1.0,Ankara,Standart,0
292,27.0,663.0,27.0,0.0,Ankara,Temel,0
293,61.0,387.72,27.0,1.0,Ankara,Standart,0
294,38.0,543.8,18.0,3.0,Adana,Premium,0
295,36.0,513.92,15.0,4.0,Antalya,Temel,1
296,48.0,694.47,52.0,1.0,Antalya,Temel,0
297,21.0,329.45,7.0,3.0,Antalya,Standart,1
298,64.0,582.66,34.0,1.0,Adana,Temel,1
299,47.0,746.27,42.0,0.0,Eskişehir,Standart,0
300,65.0,570.33,51.0,3.0,İzmir,Temel,0
301,66.0,501.58,37.0,4.0,Bursa,Temel,0
302,45.0,499.31,31.0,2.0,Eskişehir,Temel,0
303,35.0,281.05,17.0,5.0,Antalya,Standart,1
304,25.0,360.14,6.0,2.0,Eskişehir,Standart,1
305,43.0,492.08,30.0,4.0,Ankara,Temel,1
306,64.0,281.71,900.0,2.0,Ankara,Premium,0
307,48.0,596.77,50.0,3.0,Antalya,Premium,1
308,56.0,245.05,43.0,1.0,Eskişehir,Premium,0
309,39.0,382.45,47.0,3.0,İzmir,Temel,1
310,47.0,740.64,17.0,3.0,Ankara,Standart,0
311,24.0,636.46,47.0,2.0,Ankara,Standart,1
312,65.0,434.17,1200.0,1.0,Bursa,Standart,0
313,,762.54,7.0,2.0,Antalya,Temel,0
314,24.0,-50.0,45.0,2.0,Bursa,Temel,1
315,29.0,747.48,34.0,3.0,Ankara,Temel,0
316,51.0,282.79,39.0,2.0,Eskişehir,Temel,1
317,,,17.0,1.0,Adana,Standart,0
318,52.0,588.7,53.0,2.0,İzmir,Temel,0
319,57.0,299.17,42.0,2.0,Eskişehir,Temel,0
320,50.0,622.73,6.0,2.0,Eskişehir,Temel,0
321,41.0,471.36,34.0,3.0,Bursa,Premium,1
322,32.0,428.57,10.0,2.0,Ankara,Temel,1
323,66.0,752.3,9.0,2.0,Bursa,Premium,0
324,39.0,482.9,6.0,4.0,Ankara,Premium,1
325,44.0,428.44,-50.0,1.0,Bursa,Premium,0
326,32.0,347.43,57.0,0.0,Bursa,,1
327,66.0,461.58,1000.0,2.0,Adana,Premium,1
328,,540.24,58.0,2.0,Eskişehir,Standart,0
329,19.0,603.74,17.0,3.0,İstanbul,Temel,0
330,24.0,285.31,54.0,1.0,Bursa,Temel,0
331,,149.31,12.0,4.0,İstanbul,Temel,0
332,63.0,496.2,59.0,3.0,Antalya,,0
333,50.0,534.9,4.0,0.0,Bursa,Standart,0
334,50.0,359.81,11.0,4.0,Bursa,Standart,1
335,49.0,487.97,16.0,2.0,İzmir,Standart,0
336,59.0,513.64,36.0,2.0,Antalya,Premium,1
337,60.0,616.57,51.0,1.0,Ankara,Premium,0
338,,90000.0,49.0,0.0,İstanbul,Temel,1
339,41.0,410.9,21.0,2.0,Antalya,Temel,0
340,40.0,932.66,31.0,0.0,İzmir,Standart,0
341,64.0,405.12,4.0,3.0,Bursa,,0
342,48.0,595.63,40.0,1.0,Antalya,Temel,0
343,64.0,811.02,46.0,200.0,Ankara,Standart,0
344,57.0,266.89,47.0,2.0,Bursa,Standart,0
345,25.0,457.79,41.0,2.0,Ankara,Premium,0
346,42.0,283.21,54.0,3.0,Bursa,Standart,1
347,59.0,514.0,13.0,2.0,İzmir,Temel,0
348,54.0,701.78,12.0,2.0,Adana,Temel,1
349,49.0,552.61,44.0,0.0,Adana,Temel,0
350,34.0,522.94,46.0,0.0,İstanbul,Temel,0
351,41.0,273.33,2.0,0.0,İstanbul,Premium,0
352,40.0,737.18,7.0,4.0,İzmir,Temel,0
353,50.0,623.77,52.0,3.0,İzmir,Standart,0
354,21.0,,17.0,1.0,Bursa,Temel,0
355,30.0,,41.0,3.0,İzmir,Standart,0
356,25.0,,16.0,0.0,İzmir,Temel,1
357,27.0,270.92,15.0,1.0,Bursa,Standart,1
358,41.0,626.11,45.0,0.0,Adana,Standart,0
359,68.0,576.19,6.0,5.0,İstanbul,Temel,0
360,49.0,758.85,21.0,1.0,Bursa,Standart,0
361,57.0,523.02,5.0,1.0,Eskişehir,Standart,1
362,,700.78,16.0,,İzmir,Standart,1
363,18.0,669.24,31.0,4.0,,Premium,1
364,42.0,45000.0,29.0,4.0,İzmir,Standart,0
365,30.0,691.1,14.0,1.0,İzmir,Standart,1
366,47.0,377.87,35.0,,Ankara,Premium,0
367,37.0,631.53,-20.0,2.0,Ankara,Standart,1
368,49.0,700.45,20.0,1.0,Ankara,Temel,1
369,65.0,-1000.0,34.0,0.0,Adana,Standart,0
370,22.0,562.33,44.0,2.0,Antalya,Temel,0
371,,515.29,46.0,2.0,Antalya,Standart,0
372,,172.76,10.0,2.0,Bursa,Standart,1
373,25.0,260.88,2.0,2.0,Adana,Temel,0
374,58.0,540.92,31.0,3.0,İzmir,,0
375,67.0,593.47,57.0,3.0,Ankara,Premium,1
376,27.0,486.73,17.0,3.0,Bursa,Standart,1
377,40.0,64.34,57.0,7.0,Eskişehir,,1
378,32.0,628.4,7.0,2.0,İstanbul,Temel,1
379,,664.74,49.0,2.0,,Standart,0
380,51.0,407.16,33.0,1.0,Adana,,0
381,56.0,512.84,35.0,5.0,Adana,,1
382,43.0,555.43,32.0,5.0,Bursa,Premium,1
383,58.0,568.19,51.0,,Eskişehir,Premium,0
384,35.0,571.9,17.0,2.0,Eskişehir,Premium,0
385,62.0,169.82,54.0,3.0,İstanbul,Standart,1
386,50.0,,24.0,2.0,İstanbul,Temel,1
387,37.0,350.1,41.0,3.0,İzmir,Standart,0
388,51.0,,42.0,2.0,Adana,Premium,0
389,57.0,,50.0,0.0,,Temel,1
390,58.0,481.42,21.0,0.0,İzmir,Premium,0
391,45.0,412.59,41.0,0.0,Eskişehir,Standart,0
392,65.0,480.52,23.0,3.0,İstanbul,Temel,0
393,31.0,493.19,29.0,2.0,İstanbul,Standart,0
394,,415.16,42.0,1.0,Adana,Temel,0
395,33.0,538.58,6.0,5.0,Eskişehir,Temel,0
396,46.0,383.37,58.0,3.0,Adana,,0
397,36.0,343.47,45.0,1.0,Eskişehir,Temel,0
398,48.0,416.02,22.0,0.0,Bursa,Premium,1
399,66.0,,56.0,0.0,İstanbul,,0
400,19.0,586.02,46.0,1.0,İzmir,Temel,0
401,58.0,509.93,45.0,1.0,Adana,Temel,0
402,62.0,232.53,45.0,0.0,Adana,Temel,0
403,36.0,580.3,58.0,2.0,,,0
404,52.0,432.35,12.0,2.0,Bursa,Standart,0
405,23.0,470.79,33.0,1.0,İzmir,Standart,0
406,64.0,,30.0,,Antalya,Temel,1
407,37.0,,35.0,4.0,İzmir,Temel,1
408,45.0,674.27,16.0,1.0,Bursa,Premium,0
409,44.0,788.92,54.0,2.0,Bursa,Temel,0
410,38.0,399.39,15.0,2.0,Ankara,Standart,1
411,41.0,,31.0,1.0,İzmir,,0
412,69.0,224.35,20.0,1.0,Antalya,Standart,1
413,69.0,483.67,17.0,80.0,İstanbul,,0
414,38.0,366.73,44.0,,İstanbul,Temel,0
415,35.0,666.95,47.0,2.0,Antalya,Premium,0
416,18.0,341.01,22.0,0.0,Eskişehir,Premium,0
417,62.0,326.99,27.0,0.0,İstanbul,Temel,1
418,22.0,641.59,19.0,5.0,Ankara,Temel,1
419,69.0,743.97,50.0,0.0,Adana,Premium,0
420,145.0,892.93,15.0,1.0,Ankara,Temel,1
421,28.0,267.39,30.0,2.0,Eskişehir,Temel,1
422,36.0,589.65,1.0,2.0,Ankara,Premium,1
423,55.0,658.67,28.0,3.0,Adana,Temel,1
424,,547.86,54.0,4.0,İzmir,Temel,1
425,27.0,511.23,57.0,3.0,Eskişehir,Premium,0
426,23.0,445.12,2.0,3.0,İstanbul,Standart,0
427,55.0,535.2,48.0,1.0,,Temel,1
428,65.0,574.05,35.0,4.0,Ankara,Temel,1
429,53.0,757.19,56.0,2.0,Eskişehir,Premium,0
430,33.0,423.37,28.0,5.0,Adana,Standart,0
431,58.0,461.94,55.0,1.0,Bursa,Standart,0
432,60.0,421.6,4.0,2.0,Antalya,Temel,0
433,25.0,521.66,4.0,4.0,Bursa,Temel,0
434,55.0,544.7,1.0,3.0,Eskişehir,Temel,1
435,64.0,625.1,11.0,,Bursa,Temel,1
436,25.0,403.38,45.0,2.0,Bursa,Temel,0
437,45.0,484.2,52.0,2.0,İstanbul,Temel,1
438,51.0,693.69,37.0,1.0,Ankara,Standart,0
439,54.0,567.95,12.0,2.0,İzmir,Temel,1
440,61.0,665.59,31.0,0.0,Antalya,Standart,1
441,45.0,847.52,47.0,2.0,Adana,Temel,0
442,20.0,354.98,6.0,2.0,Adana,Temel,1
443,21.0,546.42,30.0,2.0,Adana,Temel,0
444,24.0,450.4,24.0,2.0,İstanbul,Temel,0
445,59.0,326.43,4.0,1.0,İzmir,Standart,1
446,21.0,724.34,11.0,3.0,,Standart,0
447,26.0,500.48,5.0,5.0,Ankara,Temel,1
448,42.0,501.95,17.0,1.0,İzmir,Temel,0
449,21.0,496.27,20.0,3.0,Eskişehir,Temel,0
450,29.0,446.93,4.0,3.0,İzmir,Standart,0
451,23.0,,55.0,1.0,,Temel,0
452,,590.8,54.0,1.0,Ankara,Temel,0
453,46.0,452.4,48.0,3.0,Bursa,Temel,0
454,38.0,419.61,7.0,2.0,Ankara,Temel,0
455,59.0,,56.0,3.0,Adana,Standart,0
456,33.0,567.38,59.0,3.0,Eskişehir,Standart,0
457,27.0,376.01,49.0,4.0,Bursa,Premium,1
458,23.0,602.33,33.0,1.0,Eskişehir,Standart,0
459,51.0,236.06,38.0,1.0,Bursa,Temel,0
460,45.0,594.07,28.0,3.0,Antalya,Temel,0
461,69.0,,12.0,0.0,Antalya,Temel,1
462,63.0,586.4,42.0,2.0,Adana,Standart,0
463,56.0,,13.0,2.0,Bursa,Standart,0
464,33.0,436.9,4.0,,Adana,Standart,1
465,60.0,373.54,35.0,1.0,Adana,Temel,0
466,26.0,407.27,54.0,,Ankara,Temel,0
467,21.0,528.74,44.0,2.0,İzmir,Temel,0
468,42.0,521.55,4.0,,Bursa,Standart,1
469,26.0,494.77,42.0,0.0,Eskişehir,Temel,0
470,65.0,487.52,23.0,1.0,Eskişehir,Premium,1
471,59.0,384.58,16.0,2.0,İstanbul,Standart,0
472,42.0,,25.0,,Ankara,Premium,0
473,69.0,315.15,21.0,6.0,Antalya,Temel,1
474,47.0,139.71,55.0,2.0,Adana,Temel,0
475,46.0,697.2,8.0,3.0,Antalya,Standart,1
476,,710.48,56.0,1.0,İzmir,Temel,0
477,,493.23,27.0,4.0,Bursa,Premium,0
478,66.0,302.82,3.0,0.0,Ankara,Premium,0
479,23.0,450.09,28.0,0.0,Ankara,Standart,0
480,60.0,295.94,57.0,0.0,,Temel,0
481,20.0,568.38,45.0,3.0,İzmir,Standart,0
482,36.0,563.22,50.0,1.0,İstanbul,Temel,1
483,20.0,714.82,13.0,3.0,İzmir,Temel,1
484,42.0,231.59,28.0,2.0,İstanbul,Standart,0
485,32.0,709.73,3.0,0.0,Antalya,Temel,0
